"",Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
Year,(a),(b),(c),(d),(e),(f),(g),(h)
1970,"18,700","12,800",,,"17,500",,,
1971,"21,200","13,400",,"11,900","17,750","11,875",,"18,000"
1972,"23,700","15,000",,"13,225","17,500","12,600",,"20,350"
1973,"27,400","19,800","17,500","16,250","18,850","15,200",,"26,850"
1974,"31,800","25,500","21,500","22,200","18,850","20,500",,"32,000"
1975,"34,300","28,700","23,700","26,150","24,500","25,850",,"33,600"
1976,"36,800","32,900","26,275","29,800","33,000","31,575",,"35,100"
1977,"39,200","37,000","28,600","32,600","36,400","34,500",,"36,700"
1978,"43,200","37,600","29,975","33,100","38,575","34,000",,"37,300"
1979,"50,700","38,000","31,450","33,750","38,600","34,750",,"39,000"
1980,"68,850","39,500","35,475","36,000","40,350","36,250",,"44,675"
1981,"78,900","44,000","45,325","39,100","43,825","37,100",,"57,750"
1982,"79,425","46,750","55,125","42,850","48,225",40.325,,"59,025"
1983,"81,425","52,500","55,525","47,950","49,000","42,500",,"68,150"
1984,"85,900","65,000","58,950","61,250","48,175","44,750",,"84,250"
1985,"88,350","75,200","61,550","72,200","52,050","55,500",,"90,625"
1986,"98,325","82,000","63,000","73,500","58,000","56,725","87,500","91,175"
1987,"120,025","89,500","63,500","74,500","61,225","63,450","81,075","90,125"
1988,"141,000","109,000","71,000","80,400","78,000","67,950","86,000","101,250"
1989,"170,850","132,000","96,000","90,400","102,500","77,325","90,750","115,000"
1990,"194,000","131,000","113,000","97,200","101,125","82,000","101,500","120,750"
1991,"182,000","127,000","120,000","103,900","99,500","89,650","111,550","136,500"
1992,"183,300","125,000","129,000","108,300","102,500","95,825","126,125","155,250"
1993,"188,000","126,000","136,500","111,200","112,750","104,250","150,500","159,375"
1994,"192,375","130,000","143,000","113,500","123,125","110,500","157,875","160,850"
1995,"196,750","129,000","147,000","111,500","126,788","106,750","165,375","155,550"
1996,"211,125","131,000","148,000","110,000","126,625","108,000","164,250","152,375"
1997,"233,250","142,000","150,000","113,500","134,125","108,750","176,500","152,750"
1998,"248,750","155,000","159,500","118,600","141,000","107,250","173,500","155,500"
1999,"272,500","175,000","161,000","127,000","147,500","112,225","179,375","161,500"
2000,"287,000","191,000","170,000","135,000","156,250","117,750","186,800","180,825"
2001,"322,500","225,000","178,700","150,000","168,375","120,575","188,000","206,250"
2002,"387,500","258,000","205,000","180,000","189,250","137,150","202,250","234,150"
2003,"454,250","276,000","249,000","225,000","205,000","172,500","211,333","293,667"
"",,,,,,,,,Australia
Year,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,AC(a)Treasury
1970,56.6,57.4,,,101.6,,,,64.0 58.8
1971,60.5,56.7,,67.8,97.2,,,82.6,65.7 61.2
1972,63.8,59.8,,71.1,90.4,80.3,,88.0,68.0 64.2
1973,67.5,72.3,74.1,79.9,89.1,88.6,,106.3,75.1 70.4
1974,68.0,80.7,78.9,94.7,77.3,103.7,,109.9,79.0 75.0
1975,63.7,78.9,75.5,96.9,87.2,113.5,,100.2,77.9 70.9
1976,60.3,79.8,73.9,97.4,103.7,122.3,,92.9,78.7 70.2
1977,57.2,79.9,71.6,94.9,101.8,119.0,,86.0,76.7 69.4
1978,58.3,75.2,69.5,89.2,100.0,108.6,,80.9,74.3 68.9
1979,62.8,69.7,66.9,83.4,91.7,101.8,,77.6,71.9 70.5
1980,77.4,65.7,68.4,80.7,87.0,96.4,,80.7,74.6 78.5
1981,80.9,66.8,79.8,80.0,86.2,90.0,,95.1,77.8 83.4
1982,73.2,63.8,87.2,78.8,85.3,87.9,,87.4,75.1 78.9
1983,68.2,65.1,79.8,80.2,78.7,84.2,,91.7,72.3 75.6
1984,69.2,77.6,81.6,98.5,74.5,85.3,,109.1,78.5 78.9
1985,"66,7",84.1,79.8,108.8,75.4,99.1,,109.9,80.8 81.2
1986,68.0,84.0,74.9,101.5,77.0,92.9,115.7,101.4,79.9 80.3
1987,76.6,84.5,69.5,94.8,74.9,95.8,98.8,92.4,80.6 77.8
1988,83.9,96.0,72.5,95.4,89.0,95.9,97.8,96.7,88.3 88.6
1989,94.5,108.1,91.1,99.8,108.7,101.1,95.9,102.2,100.4 104.4
1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 100.0
1991,90.9,93.9,102.9,103.6,95.3,103.2,106.5,109.5,96.2 98.0
1992,90.6,91.5,109.5,106.9,97.2,109.3,119.2,123.3,97.5 97.6
1993,91.3,90.6,113.8,107.8,105.1,116.8,139.7,124.4,99.4 97.8
1994,91.7,91.8,117.0,108.0,112.6,121.5,143.8,123.2,101.2 100.2
1995,89.6,87.0,115.0,101.4,110.8,112.1,144.0,113.8,97.6 99.2
